idnumber,title,artistcalc,datemade,materials,measurement
1991.26.5,Ratcliffe Power Station,"Kenna, Michael",1986,toned gelatin silver print,6 x 9 in.
1991.26.6,Ratcliffe Power Station,"Kenna, Michael",1986,toned gelatin silver print,6 x 9 in.
1991.27,Diapositive Clip-o-Matic Lips,"Tilson, Joe",1967,screenprint on acetate film with metalized acetate film,28 x 20 in.
1991.28,Cedar,"Holland, Tom",1980,epoxy on aluminum,98 1/2 x 68 1/4 x 25 3/4 in.
1991.29,Looking at Mary Lawyer,"Witkin, Jerome",1979,oil on canvas,60 x 48 in.
1991.30.1,Two Heavy Female Nudes,"Boehler, Hans",1910-1961,pencil,17 x 11 1/2 in.
1991.30.2,Two Female Nudes,"Boehler, Hans",1910-1990,pencil,11 1/2 x 17 in.
1991.30.3,Reclining Female Nude,"Boehler, Hans",1912-1913,pen and ink,11 3/4 x 17 in.
1991.30.4,Hillside,"Boehler, Hans",1910-1990,sanguine,18 x 24 in.
1991.30.5,Standing Female Nude,"Boehler, Hans",1957,charcoal,24 x 19 in.
1991.30.6,Female Nude,"Boehler, Hans",1910-1990,charcoal,24 x 19 in.
1991.30.7,Male with Hands Behind Head,"Boehler, Hans",1910-1990,charcoal,19 x 24 1/2 in.
1991.30.8,Lying Figure Under Blanket,"Boehler, Hans",1910-1990,charcoal,19 x 24 3/4 in.
1991.30.9,Portrait of a Lady,"Boehler, Hans",1910-1990,charcoal,27 x 20 in.
1991.30.10,Female Head,"Boehler, Hans",1952,charcoal,22 1/2 x 18 1/2 in.
1991.30.11,Sitting Nude,"Boehler, Hans",1957-1958,pencil,25 x 19 1/2 in.
1991.30.12,Negro with Hand on Jaw,"Boehler, Hans",1910-1990,sanguine,25 x 19 in.
1991.30.13,Head of a Man,"Boehler, Hans",1910-1990,sanguine,24 1/2 x 19 in.
1991.30.14,Woman Reading,"Boehler, Hans",1910-1990,charcoal,20 x 25 1/2 in.
1991.30.15,Reclining Nude,"Boehler, Hans",1910-1990,sanguine,25 x 19 in.
1991.30.16,Reclining Nude with Knees Bent,"Boehler, Hans",1910-1990,charcoal,25 x 19 in.
1991.30.17,Female Nude Standing,"Boehler, Hans",1910-1990,charcoal,25 x 19 in.
1991.30.18,Study of a Seated Figure,"Boehler, Hans",1910-1990,charcoal,25 x 19 in.
1991.30.19,Woman with Long Hair,"Boehler, Hans",,pastel,20 1/2 x 26 in.
1991.30.20,Portrait of a Negro Man,"Boehler, Hans",1910-1990,charcoal,19 x 26 in.
1991.30.21,Mauren Seated,"Boehler, Hans",1952,charcoal,29 x 23 in.
1991.30.22,"Head, left profile","Boehler, Hans",1957,charcoal,24 x 30 in.
1991.30.23,Standing Female Nude,"Boehler, Hans",1957,pencil,32 x 28 in.
1991.30.24,Standing Nude,"Boehler, Hans",,charcoal,29 x 33 in.
1991.30.25,"Portrait, Male Head","Boehler, Hans",,charcoal,22 x 29 in.
1991.31,"Untitled, from Torn Cloud Series","Goode, Joe",1975,oil on canvas,60 x 60 in.
1991.32.a-d,Sade Burnt Tea Set,"Blake, Nayland",1988,"metal, glass, ceramics",40 x 13 3/4 x 7 7/8 in.
1991.33,Why,"Smith, Barbara Bell",1984,oil on gessoed paper,30 x 22 in.
1991.34,Amsterdam Bilder,"Dokoupil, Jiri Georg",1984,oil on canvas and velvet,90 x 90 in.
1992.1,Untitled (landscape),"Baiitsu, Yamamoto",1844,ink on paper,56 3/4 x 31  in.
1992.2.1,Root 5 - Interference Green/Violet,"Simpson, David",1991,acrylic on canvas,17 1/2 x 8 in.
1992.2.2,Root 5 - Grey Green,"Simpson, David",1991,acrylic on canvas,17 1/2 x 8 in.
1992.3,#53,"Bischoff, Elmer",1980,acrylic on canvas,80 1/4 x 96 3/4 in.
1992.4.1,Tongue Tied,"Cha, Theresa Hak Kyung",1976,typewritten text on white cloth,26 x 15 in.
1992.4.2,Population Ring clifton street,"Cha, Theresa Hak Kyung",1977,Artist's book. Hard bound. Self published. 58 pages.,11 1/2 x 8 3/4 in.
1992.4.3,Pravda/Istina,"Cha, Theresa Hak Kyung",1982,"3 works on paper. Press type letters, pencil, black and red ink on press board.",10 x 12 in.
1992.4.4,Pravda/Istina,"Cha, Theresa Hak Kyung",1982,"Heresies:A Feminist Publication on Art & Politics. Vol 4. No 2. Issue #14. Periodical. Heresies Collective Inc., NY. 1982. 48 pages.",12 x 10 in.
1992.4.5,Untitled,"Cha, Theresa Hak Kyung",nd,"Mixed media collage. Green, blue, red, beige, silver paper on white cardboard.",6 x 8 1/2 in.
1992.4.6,Untitled,"Cha, Theresa Hak Kyung",nd,Ink on paper.,13 1/4 x 9 1/2 in.
1992.4.7,The Son of Kahn,"Cha, Theresa Hak Kyung",1982,Pencil on paper,12 x 8 1/2 in.
1992.4.8,Untitled,"Cha, Theresa Hak Kyung",nd,Pencil on paper,12 x 8 1/2 in.
1992.4.9,Untitled,"Cha, Theresa Hak Kyung",nd,"Sketchbook. Cloth. Pages are ink, pencil, pastel on paper. 49 pages.",18 1/4 x 12 in.
1992.4.11,Aveugle Voix,"Cha, Theresa Hak Kyung",1975,Black ink on cloth.,76 x 36 in.
1992.4.12,Earth,"Cha, Theresa Hak Kyung",1973,Artist's book. Soft bound. 22 pages. Cover is cotton paper with hand-written calligraphy in black ink. Pages possibly photocopies.,11 x 8 3/4 in.
1992.4.13,Tongue Tied,"Cha, Theresa Hak Kyung",1976,Typewritten text on paper. 3 pages.,17 1/4 x 12 in.
1992.4.14,Untitled,"Cha, Theresa Hak Kyung",nd,5 black and white magazine clippings stapled to a piece of white cloth paper. Folded.,9 x 6 in.
1992.4.15,Dictee,"Cha, Theresa Hak Kyung",1982,Blue typewritten text on paper,11 x 8 1/2 in.
1992.4.16,Dictee,"Cha, Theresa Hak Kyung",1982,Handwritten letter. Folded. 2 pages.,8 x 5 in.
1992.4.17,Dictée,"Cha, Theresa Hak Kyung",1982,ink on paper; Korean calligraphy,17 1/4 x 10 in.
1992.4.18,Dictee,"Cha, Theresa Hak Kyung",1982,Ink on paper. Korean calligraphy.,10 1/2 x 10 in.
1992.4.19,Dictee,"Cha, Theresa Hak Kyung",1982,10 pages from Dictee. Handwritten additions to 3 pages.,8 x 5 1/4 in.
1992.4.20,Dictee,"Cha, Theresa Hak Kyung",1982,6 pages with typeset. Handwritten additions on 4 pages.,12 x 9 in.
1992.4.21,La Chambre de Mao a 4 Heures,"Cha, Theresa Hak Kyung",1981,carved plywood and rice paper with hand-stenciled words and paint (title stenciled on the bottom in pencil),35 x 22 in.
